Category,Sl.No.,Scheme,2020-2021 Actuals,2021-2022 Budget Estimates,2021-2022 Revised Estimates,2022-2023 Budget Estimates
Atomic Energy,NA,Total,148.81,174.1,152,172.05
Atomic Energy,1,Atomic Research Centres,4.1,6,3.9,5
Atomic Energy,2,Other Autonomous Bodies,120.88,138.1,118.1,137.05
Atomic Energy,3,Service Units,23.83,30,30,30
Ministry of Ayush,NA,Total,1.86,4.32,0.83,1.73
Ministry of Ayush,4,Central Council for Research in Ayurvedic Sciences,0.62,2.43,0.8,1.7
Ministry of Ayush,5,Central Council for Research in Homoeopathy,0.22,0.67,NA,NA
Ministry of Ayush,6,Central Council for Research in Siddha,0.02,0.02,0.03,0.03
Ministry of Ayush,7,Central Council for Research in Unani Medicine,1,1.2,NA,NA
Department for Promotion of Industry and Internal Trade,NA,Total,NA,0.44,NA,0.44
Department for Promotion of Industry and Internal Trade,8,Salt Commissioer,NA,0.44,NA,0.44
Ministry of Culture,NA,Total,5,5,5,5
Ministry of Culture,9,Central Institute of Buddhist Studies,1.1,1.1,1.1,1.1
Ministry of Culture,10,Central Institute of Higher Tibetan Studies,1.1,1.1,1.1,1.1
Ministry of Culture,11,Central Institute of Himalayan Culture Studies,0.6,0.6,0.6,0.6
Ministry of Culture,12,Promotion of Art and Culture,1.1,1.1,1.1,1.1
Ministry of Culture,13,Zonal Cultural Centres,1.1,1.1,1.1,1.1
Department of School Education and Literacy,NA,Total,51247.83,53603.16,51139.9,59819.37
Department of School Education and Literacy,14,Central Tibetan Schools Administration,69.19,70,61.95,62
Department of School Education and Literacy,15,Education Scheme for Madrasas and Minorities,214.28,NA,NA,NA
Department of School Education and Literacy,16,Kendriya Vidyalaya Sangathan,6436,6800,6800,7650
Department of School Education and Literacy,17,National Bal Bhawan,15.48,22,19,22
Department of School Education and Literacy,18,National Means Cum Merit Scholarship Scheme,321.11,350,284.2,350
Department of School Education and Literacy,19,National Programme of Mid Day Meals in Schools,12878.15,11500,10233.75,NA
Department of School Education and Literacy,20,National Scheme for Incentive to Girl Child for Secondary Education,0.17,1,NA,NA
Department of School Education and Literacy,21,Navodaya Vidyalaya Samiti,3478.87,3800,3740,4115
Department of School Education and Literacy,22,Pradhan Mantri Innovative Learning Programme (DHURV),NA,10,1,3.26
Department of School Education and Literacy,23,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),NA,NA,NA,10233.75
Department of School Education and Literacy,24,Samagra Shiksha,27834.58,31050.16,30000,37383.36
"Ministry of Environment, Forests and Climate Change",NA,Total,44.38,54.24,54.24,54.32
"Ministry of Environment, Forests and Climate Change",25,"Environmental Education, Awareness and Training",44.38,54.24,54.24,54.32
Ministry of External Affairs,NA,Total,15,14.66,50.1,51.73
Ministry of External Affairs,26,41st book Committee copies for missions/posts,NA,0.08,NA,NA
Ministry of External Affairs,27,"Adarsha Multiple Campus, Gajuri",NA,NA,0.83,0.83
Ministry of External Affairs,28,"Arba Bijaya Secondary School in Dhand Bensi, Arba Bijaya",NA,NA,0.46,NA
Ministry of External Affairs,29,Construction of 25 community building for Dalit People in 24 villages of Sarlahi District.,NA,NA,1.25,1.25
Ministry of External Affairs,30,Construction of 50 basic schools HICDP,NA,NA,7.2,7.2
Ministry of External Affairs,31,"Construction of a G plus 6 Storied Student Hostel, Auditorium, Library, Reading Room and Museum Hall in Ramakrishna Mission Ashrama at Faridpur",2.53,NA,3.35,NA
Ministry of External Affairs,32,"Construction of hostel building for Sinam Hr. Secondary School, Taplejung",NA,NA,0.4,NA
Ministry of External Affairs,33,"Construction of Janaki Higher Secondary School, Kapilvastu",NA,NA,0.25,NA
Ministry of External Affairs,34,"Construction of Lab & Library building for Shree Mahadev Higher Secondary School, Chankheli-Darma",NA,NA,0.26,NA
Ministry of External Affairs,35,"Construction of Library buildidng inside the premises of Shree Saraswati Madhyamik Vidyalaya, Simikot, Humla",0.35,NA,NA,NA
Ministry of External Affairs,36,"Construction of monestry building for Shree Pal Evam, Namgyal Monastic Choonup, Mustang",NA,NA,0.26,0.26
Ministry of External Affairs,37,"Construction of Multi-Ethnic Tri-Lingual School in Polonnaruwa, Sri Lanka",NA,7.54,NA,NA
Ministry of External Affairs,38,Construction of proposed Bal Mandir Secondary Schools Building Triyuga Municipality Gaighat,NA,NA,1.37,1.37
Ministry of External Affairs,39,"Construction of school building for Sanskrit Madhyamik Vidyalaya, Ridi, Gulmi",NA,NA,0.39,NA
Ministry of External Affairs,40,"Construction of school building for Shree Triveni Barah Secondary School, Mulging, Chitwan",NA,NA,0.44,NA
Ministry of External Affairs,41,Establishment of Sports facilities at Rajshahi College Field and Surrounding areas,NA,NA,0.16,0.16
Ministry of External Affairs,42,Gifting of 78 ambulances and 18 buses to various government hospitals/non-profit charitable organizations and educational institutions in different parts of Nepal during the CFY 2021-22,7.66,NA,8.31,9
Ministry of External Affairs,43,"Habibia School, Kabul",NA,0.7,0.45,0.7
Ministry of External Affairs,44,"HICDP - Construction of school building of Shree Saraswati Secondary School, Kailali District",0.52,NA,NA,NA
Ministry of External Affairs,45,HICDP - Construction of Shivbhari Higher Secondary School in Kapilvastu District,1.04,1.04,0.83,NA
Ministry of External Affairs,46,"HICDP - Construction of Shree Moti Mahila Sangh Primary School, Tinkar, Khalanga Darchula district",NA,NA,0.15,NA
Ministry of External Affairs,47,"HICDP- Construction of Academic building for Sindhuli Community Technical Institute, Kamalamai Municipality-6, Sindhuli District",NA,0.7,1.1,NA
Ministry of External Affairs,48,"HICDP- Construction of building for Purwa Chhetriya Police Boarding High School, Dharan-1, Sunsari District",NA,0.48,0.48,NA
Ministry of External Affairs,49,"HICDP- Construction of School building for Shree Bal Govinda Janata Higher Secondary School, Pipariya-7, Sarlahi District.",0.11,0.22,0.17,0.17
Ministry of External Affairs,50,"HICDP- Construction of School building for Shree Malikarjun Higher Secondary School, Dhap, Darchula District",0.58,0.58,0.47,NA
Ministry of External Affairs,51,"HICDP- Construction of School building of Baidyanath Devnarayan Public Higher Secondary School, Tulsiyahi, Dhanusha District",0.46,1.65,0.74,0.74
Ministry of External Affairs,52,"HICDP- Construction of Shree Pashupati Shiksha Mandir, Kanchanpur District",NA,0.33,0.53,0.53
